 Cantina ,,Preços medio,Quan.Itens, Outubro ,, Novembro ,, Dezembro ,, Janeiro ,, Fevereiro ,, Março ,, Abril ,, Maio ,, Junho ,, Julho ,, Agosto ,, Setembro ,
 GAS , UNIDAD ,160.65,8,,5,,7,,7,,6,,6,,7,,6,,6,,5,,8,,8,,
 AÇUCAR  5 kg , UNIDADE ,25.2,6,,5,,12,,4,,5,,5,,5,,5,,5,,4,,4,,4,,
 AGUA SANITARIA CANDEIAS 1L , UND ,2.478,15,,8,,10,,18,,8,,9,,9,,8,,8,,18,,18,,12,,
 ARROZ BRANCO  5KG , UNIDADE ,26.5335,12,,15,,10,,9,,15,,12,,12,,15,,15,,9,,9,,10,,
 AZEITE OLIVA ANDORINHA EXT VIRG , UND ,56.68782,3,,5,,2,,6,,5,,7,,7,,5,,5,,6,,6,,3,,
 BACON PERDIGÃO , KG ,30.3765,3,,6,,3,,5,,6,,8,,8,,6,,6,,5,,5,,3,,
 BOBINA PLAST. 35X50CM , UND ,36.3825,2,,6,,2,,5,,6,,8,,8,,6,,6,,5,,5,,3,,
 BOV 2S OSSO , KG ,26.9115,20,,10,,10,,11,,10,,17,,17,,10,,10,,11,,11,,6,,
 BOV CARNE MOIDA , KG ,29.064,10,,13,,11,,21,,13,,26,,26,,13,,13,,21,,21,,11,,
 BOV CHA FORA BIFE , KG ,35.826,11,,18,,11,,20,,18,,32,,32,,18,,18,,20,,20,,11,,
 BOV FILÉ AGULHA , KG ,27.993,11,,17,,11,,20,,17,,32,,32,,17,,17,,20,,20,,11,,
 BOV MIOLO PALETA BIFE , KG ,35.5215,5,,16,,11,,20,,16,,32,,32,,16,,16,,20,,20,,11,,
 CAFÉ CERRADO , UND ,11.802,25,,29,,20,,25,,29,,50,,50,,29,,29,,25,,25,,20,,
 CARNE COSTELA , KG ,19.3725,31,,45,,20,,45,,45,,60,,60,,45,,45,,45,,45,,30,,
" CATCHUP TAMBAU 3,4 KG ", UND ,29.9565,3,,2,,2,,2,,2,,1,,1,,2,,2,,2,,2,,3,,
 COCO RAL SUPER COCO FINO 1KG , UND ,44.793,2,,3,,2,,1,,3,,2,,2,,3,,3,,1,,1,,2,,
 COXA SOBRECOXA JAGUA , KG ,10.1745,21,,35,,21,,30,,35,,45,,45,,35,,35,,30,,30,,20,,
 CR DE LEITE PIRACANJUBA TP200G , UND ,3.99,14,,19,,13,,15,,19,,25,,25,,19,,19,,15,,15,,13,,
 DESINFETANTE 2L , UND ,7.7805,13,,15,,13,,13,,15,,15,,15,,15,,15,,13,,13,,12,,
 DETERGENTE , UND ,21.315,13,,18,,13,,13,,18,,23,,23,,18,,18,,13,,13,,12,,
 EMB. BOREDA AL MAQ 09 100X1 , UND ,51.3555,11,,15,,11,,11,,15,,15,,15,,15,,15,,11,,11,,11,,
 EXTRATO DE TOMATE ESTELA 40g , UND ,1.869,25,,20,,25,,25,,20,,25,,25,,20,,20,,25,,25,,24,,
 FARINHA DE TRIGO SANADUVA , UND ,6.111000000000001,6,,12,,6,,6,,12,,17,,17,,12,,12,,6,,6,,6,,
FLOCÃO BONOMILHO 500 G, UND ,1.9215,25,,16,,12,,,,16,,10,,10,,16,,16,,,,,,,,
 FEIJAO CAR PADIM TP-1 1kg , UND ,7.35,31,,42,,31,,42,,42,,60,,60,,42,,42,,42,,42,,30,,
 FERM. FERMIPAM 500G , UND ,21.63,3,,4,,2,,4,,4,,3,,3,,4,,4,,4,,4,,2,,
 FRIATO COXA SOBRE COXA , KG ,10.6365,41,,50,,41,,45,,50,,60,,60,,50,,50,,45,,45,,39,,
 FRUTA ABACAXI , UND ,9.786,4,,7,,3,,2,,7,,6,,6,,7,,7,,2,,2,,3,,
 FRUTA BANANA NANICA , KG ,3.3075,20,,35,,21,,20,,35,,35,,35,,35,,35,,20,,20,,20,,
 FRUTA LARANJA , KG ,3.7275,21,,35,,21,,21,,35,,25,,25,,35,,35,,21,,21,,20,,
 FRUTA MACA FUJI , KG ,11.7075,17,,25,,17,,25,,25,,25,,25,,25,,25,,25,,25,,16,,
 FRUTA MAMAO , KG ,2.709,3,,5,,3,,5,,5,,2,,2,,5,,5,,5,,5,,3,,
 FRUTA MELANCIA , KG ,2.709,24,,35,,20,,35,,35,,35,,35,,35,,35,,35,,35,,22,,
 ISQUEIRO BIC MAXI 1X1 , UND ,5.5125,7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
 LAVA LOUCAS MINUANO , UND ,2.2155,24,,35,,19,,21,,35,,35,,35,,35,,35,,21,,21,,24,,
LIMP PESADA CANDEIAS GEL LAV 1 L, UND ,8.925,12,,25,,10,,10,,25,,10,,10,,25,,25,,10,,10,,24,,
LIMPA ALUMINIO POLITRIZ LIMAO 500 ML , UND ,3.1395,12,,16,,10,,22,,16,,22,,22,,16,,16,,22,,22,,24,,
LIMPA CANDEIAS CERAMICA 1 L , UND ,7.791,12,,30,,10,,6,,30,,16,,16,,30,,30,,6,,6,,24,,
LIMPA VEJA MULTIUSO ORIG LV500, UND ,5.985,24,,25,,20,,8,,25,,16,,16,,25,,25,,8,,8,,24,,
 LING.  MISTA FRICO , KG ,21.21,6,,12,,10,,10,,12,,12,,12,,12,,12,,10,,10,,6,,
 LING. FRICO CALABRESA DEF  , KG ,26.92746,4,,7,,3,,5,,7,,6,,6,,7,,7,,5,,5,,3,,
 LING. NOBRE MISTA , KG ,22.407,10,,7,,8,,4,,7,,5,,5,,7,,7,,4,,4,,3,,
 LINGUI AURORA FGO , KG ,22.47,9,,18,,8,,2,,18,,16,,16,,18,,18,,2,,2,,8,,
 LUVA NOBRE PLAST DESC 100x1 , UND ,19.005,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,,
 MAC PAULISTA SEM ESPAGUETE 500G , UND ,3.003,20,,15,,14,,20,,15,,16,,16,,15,,15,,20,,20,,11,,
 MASSA LASANHA DONA BENTA , UND ,7.622999999999999,4,,6,,4,,5,,6,,5,,5,,6,,6,,5,,5,,4,,
 MILHO VERDE FUGINI LT170G , UND ,3.801,6,,6,,6,,6,,6,,8,,8,,6,,6,,6,,6,,6,,
 MORT. FRIATO TUBULAR FGO , UND ,23.17014,4,,5,,4,,5,,5,,5,,5,,5,,5,,5,,5,,4,,
 MORT. SAUDALI SUINA , KG ,9.4395,2,,4,,2,,2,,4,,15,,15,,4,,4,,2,,2,,2,,
 OLEO SOJA SOYA PET 900 ML , UND ,7.875,30,,35,,25,,16,,35,,35,,35,,35,,35,,16,,16,,20,,
 OVOS VERMELHO , UND ,15.204,10,,12,,8,,10,,12,,8,,8,,12,,12,,10,,10,,7,,
 PAPEL HIGIEN. FAMILIAR SOFT PERF. 30M , UND ,16.695,8,,20,,20,,8,,20,,25,,25,,20,,20,,8,,8,,16,,
 PERNEIL SUINA C/PELE  , KG ,32.77218,31,,33,,25,,31,,33,,30,,30,,33,,33,,31,,31,,30,,
 POLVILHO MATUTO DOCE 1KG , UND ,13.97067,4,,8,,4,,4,,8,,5,,5,,8,,8,,4,,4,,4,,
 PRESUNTO PERDIGAO MAGRO TRAD , KG ,23.1,5,,7,,4,,5,,7,,6,,6,,7,,7,,5,,5,,4,,
 QUEIJO MUSSARELA , KG ,48.3,8,,5,,5,,8,,5,,10,,10,,5,,5,,8,,8,,5,,
 RAPADURA SANTANA 900G , UND ,26.25,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,,
 SACO DE LIXO VASNORTE 100L , UND ,7.14,4,,7,,3,,4,,7,,6,,6,,7,,7,,4,,4,,3,,
 SACO DE LIXO VASNORTE 30L , UND ,7.14,5,,10,,5,,5,,10,,7,,7,,10,,10,,5,,5,,5,,
 SACO DE LIXO VASNORTE 50L , UND ,7.14,8,,15,,7,,8,,15,,12,,12,,15,,15,,8,,8,,7,,
 SALSICHA FRIATO CONG. , KG ,9.849,10,,12,,6,,10,,12,,10,,10,,12,,12,,10,,10,,6,,
Suino granja ,Kg,15,300,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,
 TAPETE PARNASUL PORTA CASA 45X65 , UND ,20.79,4,,7,,1,,4,,7,,1,,1,,7,,7,,4,,4,,3,,
 TEMP. NERESCO AÇAFRAO 500G , UND ,16.317,3,,3,,2,,3,,3,,3,,3,,3,,3,,3,,3,,2,,
 TEMP. SAZON CARNE 60G , UND ,5.6805,6,,5,,4,,11,,5,,6,,6,,5,,5,,11,,11,,6,,
 TEMP. SAZON FRANGO 60G , UND ,5.6805,4,,7,,4,,6,,7,,6,,6,,7,,7,,6,,6,,3,,
 TEMP. SAZON LEGUMES 60G , UND ,5.6805,6,,12,,3,,6,,12,,10,,10,,12,,12,,6,,6,,6,,
 TEMP.SAZON MASSAS 60G , UND ,5.6805,4,,7,,3,,4,,7,,5,,5,,7,,7,,4,,3,,3,,
 TOUCA DESC. NOBRE TNT 50X1 , UND ,11.55,2,,3,,2,,2,,3,,2,,2,,3,,3,,2,,2,,2,,
