Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Obs,,,,,,,,,,,,,,,,,,,,,,
Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,,,,,,,ORÇAMENTO BASE ZERO  ACFT SENECA V (PR-PME) /Meridian500,ORÇAMENTO BASE ZERO  ACFT SENECA V (PR-PME) /Meridian500,ORÇAMENTO BASE ZERO  ACFT SENECA V (PR-PME) /Meridian500,ORÇAMENTO BASE ZERO  ACFT SENECA V (PR-PME) /Meridian500,ORÇAMENTO BASE ZERO  ACFT SENECA V (PR-PME) /Meridian500,ORÇAMENTO BASE ZERO  ACFT SENECA V (PR-PME) /Meridian500,ORÇAMENTO BASE ZERO  ACFT SENECA V (PR-PME) /Meridian500,ORÇAMENTO BASE ZERO  ACFT SENECA V (PR-PME) /Meridian500,,,,,,,,,
Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,,,,,,,ITEM,QUANTIDADE,,VALOR ,,,,,,,,,,,,,
,,,out,Nov,Dez,jan,Fev,Mar,Abr,Mai,,Horas,,Total ,Valor unid,Total R$,,,,,,,Seguro reta,1,767.88,,,,,,,,,,,,,,
Aplicação Aerea,Descrição,,Agroservice                                   1º fung soja  5.637                                                2º fung soja 5.637                                               3º fung  soja 5.637                                        4º Fung soja 5.637   5°micro/ins                                      1º ins milho 3.678                                      2º ins milho 3.678                                  3º ins milho 3.678                                         4º fun milho 3.678                                 5º fun milho 3.678   6º ins milho 3.678      7° ins milho       8°ins  milho            Agroinvest= 5000 ha ,Agroservice                                   1º fung soja  5.637                                                2º fung soja 5.637                                               3º fung  soja 5.637                                        4º Fung soja 5.637   5°micro/ins                                      1º ins milho 3.678                                      2º ins milho 3.678                                  3º ins milho 3.678                                         4º fun milho 3.678                                 5º fun milho 3.678   6º ins milho 3.678      7° ins milho       8°ins  milho            Agroinvest= 5000 ha ,Agroservice                                   1º fung soja  5.637                                                2º fung soja 5.637                                               3º fung  soja 5.637                                        4º Fung soja 5.637   5°micro/ins                                      1º ins milho 3.678                                      2º ins milho 3.678                                  3º ins milho 3.678                                         4º fun milho 3.678                                 5º fun milho 3.678   6º ins milho 3.678      7° ins milho       8°ins  milho            Agroinvest= 5000 ha ,Agroservice algodão 22 aplicação inseticida total 5280 Há fugincida 6 aplicação total 1440Ha     Agroinvest = 6000 há ,3500  mix de cobertura  pivõ 10 aplicações =1600, 3 aplicações inseticida Safrinha 1500,,,AGROSERVICE   milho = 29424    soja=28.185    algodão=6.720    sorgo=1.500   pivô milho=1.600                 AGROINVEST=11.000             TOTAL=78.429,,,78429,,,,,,,,,Atendiemnto Angar Icaro (BSB),12,1500,,,,,,,,,,,,,,
Air tractor  B502,Area trabalhada,Há liquido 20,9600,22548,29933,12608,2240,1500,,,,,,,,,,,,,,,jeepson -Renovação assinatura garmim,1,6400,,,,Valor aquisição Meridian,3175000,,,,,,,,,
Air tractor  B502,Area trabalhada,,,,,,,,,,,,,,,,,,,,,,Revisoes/manutençoes,1,40000,,,,Agroservice 50%,,,,,,,,,,
Air tractor  B502,Area trabalhada,há solido,,,,,3500,,,,,40/h,,,500,20000,,,,,,,Angarage ,12,850,,,,,,,,,,,,,,
Air tractor  B502,Horas trabalhada,Hora,,,,,,,,,,,,,,,,,,,,,Piloto,13,9000,,,,,,,,,,,,,,
Air tractor  B502,Querosene,Lt,,,,,,,,,,,,,6,,,,,,,,Combustivel (querosene),12,5625,,,,,,,,,,,,,,
