,AGROINVEST ,AGROINVEST ,AGROINVEST ,AGROINVEST ,AGROINVEST ,AGROINVEST ,AGROINVEST ,AGROINVEST ,AGROINVEST ,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-2026 (01 Outubro - 30 Setembro),2025-2026 (01 Outubro - 30 Setembro),2025-2026 (01 Outubro - 30 Setembro),2025-2026 (01 Outubro - 30 Setembro),2025-2026 (01 Outubro - 30 Setembro),2025-2026 (01 Outubro - 30 Setembro),2025-2026 (01 Outubro - 30 Setembro),2025-2026 (01 Outubro - 30 Setembro),2025-2026 (01 Outubro - 30 Setembro),,,,,,,,,,,,,,,,,,,,1.2,,,,,
,Fatores Importantes :,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,,,,,
,,,Algodão,,Soja,,Milho,,Caroço,,Total,,,,,,,,,,,,,,,,,,1.1,,,,,
,,Hectares de Produção (todas fazendas),0,,900,,1380,,N/A,,,,,,,,,,,,,,,,, ,,,1.05,,,,,
,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,1,= 100% Metas / Bonus / 70% salario bruta,,,,
,,Hectares de Produção (parte de CF),0,,,5750,,,N/A,,,Produtividade reducao:,,,,,,,,,,,,,,,,,0.9,,,,,
,,"(Carroll, mais de um terço das outras fazendas)",, ,, ,,,,,,,,,,,,,,,,,,,,0,,,0.75,,,,,
,, , , , , , ,,,,,,,,,,,,,,,,,,,,,,0.65,,,,,
,,Pressupostos de Produção,0,,70,,180,,N/A,,,Resultado: (realizado orçamento),,,,,,,,,,,,,,,,,0.5,,,,,
,,,Arrobas/HA,,Sacas/HA,,Sacas/HA,,,,,Receita algodao,,,,,,,,,,,,,,,,,0.4,,,,,
,,,,,,,,,,,,Receita milho,,,,,,,,,,,,,,,,,0.25,,,,,
,,Os Preços-Alvo - USD ,0,,20,,,,,,,Receita soja,,,Total Arrobas:,465439.97376,,,,,,,,,,,,,0.2,,,,,
,,(Vamos utilizar o preço médio de venda fixo  para produção total),Por lb,,Por Saca ,,Por Saca,,Por tonelada,,,,,,Total Kilos:,,,,,,,,,,,,,,0.15,,,,,
,,(Vamos utilizar o preço médio de venda fixo  para produção total), ,,,,,,,,,,,,Total Pounds:,,,,,,,,,,,,,,0.1,,,,,
,,Os Preços-Alvo -  BRL,,,,,,,,,,,,,Total Reais:,,,,,,,,,,,,1813938,,0,,,,,
,,,Por Arroba,,Por Saca,,Por Saca,,Por tonelada,,,,,,Check:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Custo do descaroçamento por arroba pluma ,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meta,,,,,
,,Percentual vendidos no Pessoa Juridica,1,,,, ,,,,,,,,,,,,,,,,,,,,100,70,,,,,,
,,Percentual da algodão exportado,1,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Percentual da soja e milho vendidos na Bahia,1,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Percentual da caroço vendidos para indústria,1,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pluma Percentuais,0.4,, ,, ,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Subsídios,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Taxa de câmbio (R$ por USD),5.4,,BRL/USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Em EUA dolares $$ por hectare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Custo defensivos, adubo, e semente - 24/25",0,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Em BR reais R$ por hectare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
