Orçamento câmeras agroinvest,Orçamento câmeras agroinvest,Orçamento câmeras agroinvest,Orçamento câmeras agroinvest,Orçamento câmeras agroinvest,Orçamento câmeras agroinvest
Descrição,Descrição,Descrição,Qtd,Valor Unitario,Valor Final
,CPE intelbras wom5a mimo,,4,500,
,Caixa organizadora,,4,80,
,300 metros cabo de rede,,1,300,
,Fita dupla Face,,1,50,
,Switch SF 800 Q+ ,,3,90,
,Roteador tp link,,3,200,
,Cartão de memora Sandisk,,8,80,
,Câmera Yoosee IP,,8,180,
,,,,,
,,,,Total,
,,,,,
Solinftec,Solinftec,Solinftec,Solinftec,Solinftec,
Agroinvest,Agroinvest,Agroinvest,Agroinvest,Agroinvest,
Itens,Descrição,Qtd,Valor unit,Valor,
1,RK330 01A Atmospheric Temperature e Humidity Sensor,1,800,,
,Ch Power Plug Jd,1,200,,
,Bateria Selada 12v 7ah ELGIN,1,120,,
,Can Reader Cable,1,320,,
,Radio 433 V2 Weather Station,1,100,,
,Antena Zgbe Mu 35Di 900 960 Mhz Sma 1Fc,1,230,,
,Chicote Mag X Colheita Can Ver D,1,305,,
,Rain Colector Davis 6463M,3,1200,,
,Conjunto de Fixação com Base Adesiva,1,390,,
,Antena Gps At 65 V2 Sma 5M C Cabo 5 Mts,1,120,,
,RK120 01 Wind Speed e Direction Sensor,1,2600,,
,Placa Nws Pcb Smt Nwts Enig Vrd 4L 1 6MM 1P R2,1,1000,,
,Caixa Weather Station 2 0 PBL280,2,160,,
,,,,,
