Operação,Media,hectar/KM/hora,total diesel,,,Lubrificantes e Combustiveis,,,,,
Colheita Soja,13,900,,,,,,,,,
colheita milho,14,1380,,,,Gasolina,lts ,6.4,1300,,
Colheita sementes cobertura,7,200,,,,,,,,,
Colheita de sorgo,8,500,,,,Oleo 20w50 moto,lts ,26,12,,
Plantio Soja ,4.57,900,,,,,,,,,
Plantio Milho,5,1380,,,,graxa mineral,Kgs,30,60,,
Plantio braquiaria,1.63,1380,,,,Oleo plus 50 II,lts ,37,60,,
preparo de solo,20,900,,,,Oleo 85w140 cubo,lts ,130,24,,
Semeadura milheto,0.84,500,,,,Oleo cambio ,lts ,70,10,,
Adubação a lanço KCl,0.75,2350,,,,Oleo selenia 10w30,lts ,40,4,,
Adubação a lanço SS,0.75,1600,,,,Oleo plus 50 4,lts ,35,80,,
Adubação plantio,4,915,,,,Oleo 15w40,lts ,25,400,,
Ureia,1.3,2300,,,,OLEO 424,lts ,30,350,,
Aplicação quimicos,0.7,15000,,,,OLEO 68,lts ,20,60,,
Manutençao de estrradas,,677.9661016949152,4000,,,,,,,,
F4000 melosa ,,508.4745762711864,3000,,,,,,,,
S10 Schu,,406.7796610169491,2400,,,,,,,,
F4000 aplicaçao,,508.4745762711864,3000,,,,,,,,
S10 Romerio,,932.2033898305084,5500,,,dulub ATF,lts ,24,12,,
Pa carregadeira,,677.9661016949152,4000,,,oleo lub. Ciser 300ml/200GRS,PC,12.2,4,,
JD5403,,169.4915254237288,1000,,,Oleo SAE 10,lts ,32,4,,
Ford cargo,,508.4745762711864,3000,,,Oleo Dot 4,lts ,32,8,,
Ts,,16.94915254237288,100,,,,,,,,
Compras ,,254.2372881355932,1500,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
