10/17/2025,10/17/2025,10/17/2025,10/17/2025,Agroinvest Ltda,Agroinvest Ltda,Agroinvest Ltda,Agroinvest Ltda,Agroinvest Ltda,Agroinvest Ltda,Agroinvest Ltda,,,,,,,,,,
2:04 PM,2:04 PM,2:04 PM,2:04 PM,Agroinvest Ltda,Agroinvest Ltda,Agroinvest Ltda,Agroinvest Ltda,Agroinvest Ltda,Agroinvest Ltda,Agroinvest Ltda,,,,,,,,,,
2:04 PM,2:04 PM,2:04 PM,2:04 PM,,,,,,,,,,,,,,,,,
2:04 PM,2:04 PM,2:04 PM,2:04 PM,Fixed Asset Activity,Fixed Asset Activity,Fixed Asset Activity,Fixed Asset Activity,Fixed Asset Activity,Fixed Asset Activity,Fixed Asset Activity,,,,,,,,,,
,,,,Fixed Asset Activity,Fixed Asset Activity,Fixed Asset Activity,Fixed Asset Activity,Fixed Asset Activity,Fixed Asset Activity,Fixed Asset Activity,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,1/1/2025 to 12/31/2025,1/1/2025 to 12/31/2025,1/1/2025 to 12/31/2025,1/1/2025 to 12/31/2025,1/1/2025 to 12/31/2025,1/1/2025 to 12/31/2025,1/1/2025 to 12/31/2025,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Transaction Date,Transaction Date,Transaction Number,Entry Screen,Offset Account,Book Value,Accumulated Depreciation,Depreciable Basis,Depreciable Basis,,,,Valor Mercado 01/10/2024,Valor Mercado 01/10/2025,Depreciação Orçamento,Depreciação Centerpoint 2025,,
Buildings & Improvements,Buildings & Improvements,Buildings & Improvements,Buildings & Improvements,Buildings & Improvements,Buildings & Improvements,Buildings & Improvements,Buildings & Improvements,Buildings & Improvements,Buildings & Improvements,Buildings & Improvements,Buildings & Improvements,Buildings & Improvements,,,,,,,,
,Buildings and Structures - ,Buildings and Structures - ,Buildings and Structures - ,Buildings and Structures - ,Buildings and Structures - ,Buildings and Structures - ,Buildings and Structures - ,Buildings and Structures - ,Buildings and Structures - ,Buildings and Structures - ,Buildings and Structures - ,Buildings and Structures - ,,,,,,,,
,,Irrigation Well,Irrigation Well,Irrigation Well,Irrigation Well,Irrigation Well,Irrigation Well,Irrigation Well,Irrigation Well,Irrigation Well,Irrigation Well,Irrigation Well,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,172800,0,172800,172800,,,,,,,,,
Irrigation Well Totals,Irrigation Well Totals,Irrigation Well Totals,Irrigation Well Totals,Irrigation Well Totals,Irrigation Well Totals,Irrigation Well Totals,Irrigation Well Totals,172800,0,172800,172800,,,,,,7200,7200,,
,,Shed 1,Shed 1,Shed 1,Shed 1,Shed 1,Shed 1,Shed 1,Shed 1,Shed 1,Shed 1,Shed 1,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,1238400,0,1238400,1238400,,,,,,,,,
